sku,producto,stock_odoo,precio_odoo,costo_odoo,publicado_ml,n_publicaciones,cuentas,mlm_ids,categoria_ml_id,categoria_ml
JUGU-0093-MUL,clothingdisfraz parca para niña,190,,3.0,SI,2,BEKURA | SANCORFASHION,MLM3018602037 | MLM5517707748,MLM434742,Vinilos para Frasco y Botella
ACC-0162-NEG,DISFRAZ DE CLEOPATRA PARA ADULTO NEGRO UNITALLA,89,1.0,0.3,SI,2,BEKURA | SANCORFASHION,MLM5602656944 | MLM3062875643,MLM45962,Disfraces Completos
JUGU-0217-AZL,DISFRAZ INFLABLE DE DINOSAURIO AZUL,61,1.0,1.0,SI,2,BEKURA | SANCORFASHION,MLM2897098329 | MLM2897097949,MLM45962,Disfraces Completos
ACC-0196-NEG,Halloween CostumesACCESORIOS PARA DISFRAZ,60,1.0,2.0,SI,2,BEKURA | SANCORFASHION,MLM3235544635 | MLM3235519001,MLM179253,Sombreros
ROP-0513-BLN-120CM,DISFRAZ DE DOCTOR NIÑAS MEDICO DOCTOR DISFRACES SIN ACCESORIOS BLANCO 120CM,45,1.0,,SI,2,BEKURA | SANCORFASHION,MLM5603126492 | MLM5603126486,MLM45962,Disfraces Completos
JUGU-0068-MUL,DISFRAZ DE PRINCESA DE UNICORNIO PARA NIÑAS CON ALAS COLORIDAS ARCOIRIS CON BANDA DE CUMPLEAÑOS 31 CM,30,1.0,,SI,2,BEKURA | SANCORFASHION,MLM5438436870 | MLM2973482723,MLM457405,Alas
ACC-0160-AZL,Set 3 pz Disfraz Minions PARA NIÑA AZUL UNITALLA,30,1.0,,SI,2,BEKURA | SANCORFASHION,MLM3197765139 | MLM5817260032,MLM45962,Disfraces Completos
JUGU-0067-MUL,DISFRAZ DE PRINCESA DE UNICORNIO PARA NIÑAS CON ALAS COLORIDAS ROSA Y MORADO CON BANDA DE CUMPLEAÑOS 30 CM,20,1.0,0.68,SI,2,BEKURA | SANCORFASHION,MLM5254081640 | MLM5254260278,MLM457405,Alas
VEH-0048-NEG-GRI,DISFRAZ DE TIBURON PARA MASCOTASNEGRO CON GRIS,10,1.0,0.4,SI,2,BEKURA | SANCORFASHION,MLM5297096658 | MLM2911550027,MLM189408,Chalecos Salvavidas
MUN-0003-NEG-BLN-XL,DISFRAZ COSPLAY ANIME TRAJE MAID SIRVIENTE VESTIDOXLNEGRO/BLANCO,260,1.0,4.64,NO,0,,,MLM455862,Kits de Cosplay
ROP-0258-NEG-MINE-ADU,clothingdisfraz inflable fantasma,200,,5.0,NO,0,,,MLM179254,Inflables
ROP-0258-NEG-MINE-NIN,clothingdisfraz inflable minecraft,200,,5.0,NO,0,,,,
ROP-0258-NEG-FANT-ADU,clothingdisfraz monja para adultos,150,,5.0,NO,0,,,MLM9283,Ropa para Muñecas
ROP-0352-AZLM-S,DISFRAZ SEXY COSPLAY MARINERO S AZUL MARINO,120,1.0,1.51,NO,0,,,,
ROP-0202-BLN-L,"DISFRAZ DE NIÑO DE ALBERT EINSTEIN, CIENTIFICO BLANCO L",100,1.0,0.31,NO,0,,,MLM45962,Disfraces Completos
ACC-0069-BEI-VER-L,"DISFRAZ HIPPIE , BEIGE / VERDE , L",100,1.0,,NO,0,,,MLM45962,Disfraces Completos
ACC-0069-BEI-VER-XL,"DISFRAZ HIPPIE , BEIGE / VERDE , XL",100,1.0,,NO,0,,,MLM45962,Disfraces Completos
JUGU-1178-NEG,Set Disfraz Bruja Halloween Negro Oro 2 Piezas,100,46.5,46.5,NO,0,,,,
JUGU-1179-NEG,Set Disfraz Bruja Halloween Negro Oro 2 Piezas,100,46.5,46.5,NO,0,,,,
ACC-0161-NEG,DISFRAZ DE FARAON PARA ADULTO NEGRO UNITALLA,90,1.0,0.3,NO,0,,,MLM45962,Disfraces Completos
ROP-0205-VER-M,"DISFRAZ DE DOCTOR, VETERINARIO VERDE JADE 130 CM",80,1.0,0.3,NO,0,,,MLM187660,Estetoscopios
ROP-0205-VER-XL,"DISFRAZ DE DOCTOR, VETERINARIO VERDE JADE 150 CM",80,1.0,0.32,NO,0,,,MLM187660,Estetoscopios
ROP-0202-BLN-M,"DISFRAZ DE NIÑO DE ALBERT EINSTEIN, CIENTIFICO BLANCO M",80,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0202-BLN-XL,"DISFRAZ DE NIÑO DE ALBERT EINSTEIN, CIENTIFICO BLANCO XL",80,1.0,0.37,NO,0,,,MLM45962,Disfraces Completos
ROP-0374-NEG-ROJ-2XL,Disfraz de bruja para mujer Negro-Rojo NEGRO Y ROJO 2XL,80,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0374-NEG-ROJ-3XL,Disfraz de bruja para mujer Negro-Rojo NEGRO Y ROJO 3XL,80,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0199-NEG-L,NAPOLEON DISFRAZ HALLOWEEN DEL EMPERADOR FRANCES NEGRO L,80,1.0,0.3,NO,0,,,MLM45962,Disfraces Completos
ROP-0199-NEG-M,NAPOLEON DISFRAZ HALLOWEEN DEL EMPERADOR FRANCES NEGRO M,80,1.0,0.36,NO,0,,,MLM45962,Disfraces Completos
ROP-0199-NEG-XL,NAPOLEON DISFRAZ HALLOWEEN DEL EMPERADOR FRANCES NEGRO XL,80,1.0,0.33,NO,0,,,MLM45962,Disfraces Completos
ROP-0205-VER-L,"DISFRAZ DE DOCTOR, VETERINARIO VERDE JADE 140 CM",79,1.0,0.3,NO,0,,,MLM187660,Estetoscopios
ROP-0257-NEG,Halloween Costumesdisfraz monja para adultos color negro,75,1.0,3.0,NO,0,,,MLM45962,Disfraces Completos
ROP-0196-BLN-L,DISFRAZ ARABE DE HALLOWEEN COSPLAY DE JEQUE ARABE BLANCO L,70,1.0,0.34,NO,0,,,MLM45962,Disfraces Completos
ROP-0214-M,DISFRAZ DE HAMBURGUESA PARA NIÑOS 110-120CM HAMBURGUESA M,70,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0214-L,DISFRAZ DE HAMBURGUESA PARA NIÑOS 120-130CM HAMBURGUESA L,70,1.0,,NO,0,,,MLM45962,Disfraces Completos
ACC-0069-NEG-L,"DISFRAZ HIPPIE , NEGRO , L",70,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0374-NEG-ROJ-L,Disfraz de bruja para mujer Negro-Rojo NEGRO Y ROJO L,70,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0374-NEG-ROJ-XL,Disfraz de bruja para mujer Negro-Rojo NEGRO Y ROJO XL,70,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0196-BLN-XL,DISFRAZ ARABE DE HALLOWEEN COSPLAY DE JEQUE ARABE BLANCO XL,69,1.0,0.38,NO,0,,,MLM45962,Disfraces Completos
ROP-0205-VER-S,"DISFRAZ DE DOCTOR, VETERINARIO VERDE JADE 120 CM",62,1.0,0.25,NO,0,,,MLM187660,Estetoscopios
ROP-0196-BLN-M,DISFRAZ ARABE DE HALLOWEEN COSPLAY DE JEQUE ARABE BLANCO  M,60,1.0,0.3,NO,0,,,MLM45962,Disfraces Completos
MUN-0003-NEG-BLN-L,DISFRAZ COSPLAY ANIME TRAJE MAID SIRVIENTE VESTIDOLNEGRO/BLANCO,60,1.0,4.64,NO,0,,,MLM455862,Kits de Cosplay
MUN-0003-NEG-BLN-M,DISFRAZ COSPLAY ANIME TRAJE MAID SIRVIENTE VESTIDOMNEGRO/BLANCO,60,1.0,4.64,NO,0,,,MLM45962,Disfraces Completos
ROP-0214-S,DISFRAZ DE HAMBURGUESA PARA NIÑOS 100-110 HAMBURGUESA S,60,1.0,0.5700000000000001,NO,0,,,MLM45962,Disfraces Completos
ACC-0069-BEI-VER-2XL,"DISFRAZ HIPPIE , BEIGE / VERDE , 2XL",60,1.0,,NO,0,,,MLM45962,Disfraces Completos
ACC-0069-BEI-VER-3XL,"DISFRAZ HIPPIE , BEIGE / VERDE , 3XL",60,1.0,,NO,0,,,MLM45962,Disfraces Completos
ACC-0069-CAF-NEG-XL,"DISFRAZ HIPPIE , CAFÉ / NEGRO , XL",50,1.0,,NO,0,,,MLM45962,Disfraces Completos
